葉書	はがき
留学生	りゅうがくせい
緑	みどり
練習	れんしゅう
一昨日	おととい
一昨年	いっさくねん
黄色	きいろ
昨日	きのう
真っ直ぐ	まっすぐ
側	がわ
弟	おとうと
両親	りょうしん
丸い	まるい
本当に	ほんとうに
番	ばん
お腹	おなか
違う	ちがう
一緒	いっしょ
汚い	きたない
奥さん	おくさん
押す	おす
果物	くだもの
過ぎ	すぎ
皆さん	みなさん
階段	かいだん
覚える	おぼえる
甘い	あまい
危ない	あぶない
机	つくえ
喫茶店	きっさてん
吸う	すう
牛乳	ぎゅうにゅう
狭い	せまい
靴	くつ
靴下	くつした
警官	けいかん
結構	けっこう
結婚	けっこん
個	こ
呼ぶ	よぶ
厚い	あつい
紅茶	こうちゃ
降る	ふる
今晩	こんばん
困る	こまる
座る	すわる
財布	さいふ
咲く	さく
冊	さつ
雑誌	ざっし
子供	こども
辞書	じしょ
若い	わかい
授業	じゅぎょう
初めて	はじめて
寝る	ねる
辛い	つらい
吹く	ふく
生徒	せいと
静か	しずか
切符	きっぷ
洗濯	せんたく
掃除	そうじ
窓	まど
大変	たいへん
置く	おく
遅い	おそい
痛い	いたい
閉まる	しまる
渡す	わたす
渡る	わたる
難しい	むずかしい
猫	ねこ
熱い	あつい
薄い	うすい
晩	ばん
彼	かれ
彼ら	かれら
彼女	かのじょ
疲れる	つかれる
飛行機	ひこうき
必要	ひつよう
封筒	ふうとう
並ぶ	ならぶ
並べる	ならべる
閉める	しめる
便利	べんり
帽子	ぼうし
忘れる	わすれる
忙しい	いそがしい
磨く	みがく
枚	まい
毎晩	まいばん
友達	ともだち
要る	いる
欲しい	ほしい
浴びる	あびる
頼む	たのむ
卵	たまご
涼しい	すずしい
冷たい	つめたい
冷蔵庫	れいぞうこ
塩	しお
可愛い	かわいい
居る	いる
頃	ころ
頃	ごろ
否	いいえ
匹	ひき
余り	あまり
暖かい	あたたかい
降りる	おりる
交差点	こうさてん
段々	だんだん
達	たち
椅子	いす
鉛筆	えんぴつ
掛かる	かかる
鞄	かばん
幾ら	いくら
貴方	あなた
鍵	かぎ
玄関	げんかん
砂糖	さとう
撮る	とる
傘	かさ
大丈夫	だいじょうぶ
沢山	たくさん
脱ぐ	ぬぐ
誰	だれ
弾く	ひく
丁度	ちょうど
貼る	はる
締める	しめる
賑やか	にぎやか
箸	はし
風呂	ふろ
弁当	べんとう
僕	ぼく
殆ど	ほとんど
本棚	ほんだな
立派	りっぱ
隣	となり
何故	なぜ
暇	ひま
眼鏡	めがね
丈夫	じょうぶ
風邪	かぜ
嫌	いや
煙草	たばこ
良い	よい
叔父	おじ
叔母	おば
嫌がる	いやがる
彼処	あそこ
彼の	あの
彼	あれ
此方	こちら
此方	こっち
然して	そして
其方	そちら
其方	そっち
其の	その
其れ	それ
詰らない	つまらない
迚も	とても
如何	どう
何方	どっち
何れ	どれ
遣る	やる
為る	する
一寸	ちょっと
何時も	いつも
何方	どちら
幾つ	いくつ
呉れる	くれる
此処	ここ
在る	ある
事	こと
成る	なる
石鹸	せっけん
其れでは	それでは
如何して	どうして
煩い	うるさい
彼方	あちら
彼方	あっち
不味い	まずい
又	また
未だ	まだ
勿論	もちろん
何処	どこ
如何	いかが
此の	この
奇麗	きれい
醤油	しょうゆ
様	よう
点ける	つける
何の	どの
もう一度	もういちど
其処	そこ
此れ	これ
いらっしゃる	いらっしゃる
うん	うん
さっき	さっき
すっかり	すっかり
ちゃん	ちゃん
はっきり	はっきり
やっと	やっと
そろそろ	そろそろ
上がる	あがる
日本	にっぽん
お子さん	おこさん
アルバイト	あるばいと
オートバイ	おーとばい
カーテン	かーてん
ガソリン	がそりん
コンサート	こんさーと
サンダル	さんだる
サンドイッチ	さんどいっち
ジャム	じゃむ
ステレオ	すてれお
タイプ	たいぷ
テキスト	てきすと
ビル	びる
プレゼント	ぷれぜんと
ベル	べる
ママ	まま
安心	あんしん
以下	いか
以外	いがい
以上	いじょう
意見	いけん
医学	いがく
員	いん
運ぶ	はこぶ
運転	うんてん
運動	うんどう
屋上	おくじょう
下げる	さげる
下さる	くださる
下着	したぎ
火	ひ
火事	かじ
花見	はなみ
会	かい
会場	かいじょう
会話	かいわ
開く	ひらく
楽しみ	たのしみ
楽しむ	たのしむ
間に合う	まにあう
気	き
気分	きぶん
起こす	おこす
急	きゅう
急ぐ	いそぐ
急行	きゅうこう
教会	きょうかい
金持ち	かねもち
空気	くうき
計画	けいかく
建てる	たてる
研究	けんきゅう
見える	みえる
見物	けんぶつ
工業	こうぎょう
校長	こうちょう
高校	こうこう
高校生	こうこうせい
合う	あう
今度	こんど
今夜	こんや
始める	はじめる
子	こ
思い出す	おもいだす
上手い	うまい
止む	やむ
止める	とめる
止める	やめる
試験	しけん
試合	しあい
字	じ
時代	じだい
社会	しゃかい
社長	しゃちょう
集める	あつめる
出発	しゅっぱつ
小学校	しょうがっこう
小説	しょうせつ
小鳥	ことり
少年	しょうねん
場合	ばあい
食事	しょくじ
親	おや
親切	しんせつ
人口	じんこう
水道	すいどう
世界	せかい
世話	せわ
正しい	ただしい
正月	しょうがつ
生きる	いきる
西洋	せいよう
赤ちゃん	あかちゃん
説明	せつめい
送る	おくる
足す	たす
足りる	たりる
村	むら
太る	ふとる
大学生	だいがくせい
大事	だいじ
大体	だいたい
知らせる	しらせる
地理	ちり
着物	きもの
中学校	ちゅうがっこう
昼休み	ひるやすみ
注意	ちゅうい
通う	かよう
通り	とおり
通る	とおる
店員	てんいん
都合	つごう
答え	こたえ
動く	うごく
特に	とくに
特別	とくべつ
入院	にゅういん
入学	にゅうがく
発音	はつおん
品物	しなもの
不便	ふべん
文学	ぶんがく
別	べつ
別に	べつに
用	よう
用意	ようい
用事	ようじ
立てる	たてる
旅館	りょかん
工場	こうじょう
行く	ゆく
昼間	ひるま
夕飯	ゆうはん
空く	あく
写す	うつす
売り場	うりば
行う	おこなう
下りる	おりる
代わり	かわり
聞こえる	きこえる
気持ち	きもち
仕方	しかた
台風	たいふう
乗り物	のりもの
引き出し	ひきだし
引き出す	ひきだす
回る	まわる
真ん中	まんなか
見つかる	みつかる
見つける	みつける
別れる	わかれる
代	だい
安全	あんぜん
以内	いない
育てる	そだてる
雲	くも
下宿	げしゅく
家内	かない
科学	かがく
海岸	かいがん
学部	がくぶ
客	きゃく
泣く	なく
教育	きょういく
近所	きんじょ
苦い	にがい
空港	くうこう
君	くん
決して	けっして
決める	きめる
血	ち
湖	みずうみ
お礼	おれい
交通	こうつう
光る	ひかる
港	みなと
細かい	こまかい
参る	まいる
残る	のこる
市	し
指	ゆび
糸	いと
歯医者	はいしゃ
寺	てら
自由	じゆう
